ffhq_filename,source_url,creator,license,license_url,license_short,figure_or_repo_use,source_platform,modifications
00043.png,https://www.flickr.com/photos/koreanwonders/36482460935/,KRWonders,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00109.png,https://www.flickr.com/photos/livejack00029/36083314254/,沈小捲,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00144.png,https://www.flickr.com/photos/11248189@N02/30150179623/,Charles Mims,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00300.png,https://www.flickr.com/photos/ewilkinson/14348834307/,ewilko,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,PDM 1.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00348.png,https://www.flickr.com/photos/marcodelsorbo/455454926/,Marco,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00641.png,https://www.flickr.com/photos/darkismus/4750887786/,Tuomas Puikkonen,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00650.png,https://www.flickr.com/photos/edublogger/42333416925/,Ewan McIntosh,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00651.png,https://www.flickr.com/photos/davidclow/4164243640/,David Clow,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00653.png,https://www.flickr.com/photos/kabyric/5412795382/,Richard  Kaby,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00733.png,https://www.flickr.com/photos/kasimyang/32538636300/,Kasim,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00750.png,https://www.flickr.com/photos/yangchen6712/38956725671/,YangChen(TW),Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00756.png,https://www.flickr.com/photos/colacaoufg/40800527805/,Colações de Grau UFG,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00773.png,https://www.flickr.com/photos/gwangjufc/15282792195/,광주시민프로축구단 (주),Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00809.png,https://www.flickr.com/photos/inmediahk/38064458634/,inmediahk,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00813.png,https://www.flickr.com/photos/101789297@N08/36647451762/,NICK,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,PDM 1.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00850.png,https://www.flickr.com/photos/osseous/34809404995/,osseous,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00868.png,https://www.flickr.com/photos/92549635@N06/36313945732/,惑星,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00873.png,https://www.flickr.com/photos/itupictures/40630925904/,ITU Pictures,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
